ЖУРНАЛ ЭКСПЕРИМЕНТОВ ЛАБОРАТОРИИ, 2025 г.
Записи ведут дежурные исследователи; каждый запуск получает номер run-N.

2025-01-09 | run-101 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=0.1, batch=128, epochs=30 | val accuracy 0.8802 | loss на валидации немного шумит после 15-й эпохи.
2025-01-09 | run-102 | ViT-S/16 | digits-aug | AdamW, lr=5e-4, batch=64, epochs=50 | val accuracy 0.8231 | памяти GPU хватает с запасом, можно увеличить batch.
2025-01-09 | run-103 | ViT-S/16 | tabular-credit | AdamW, lr=1e-3, batch=256, epochs=30 | val accuracy 0.9483 | результат в пределах разброса предыдущих запусков.
2025-01-09 | run-104 | ResNet-18 | tabular-credit | SGD+momentum, lr=5e-4, batch=64, epochs=50 | val accuracy 0.9008 | результат в пределах разброса предыдущих запусков.
2025-01-10 | run-105 | LightGBM | cifar10-subset | AdamW, learning_rate=1e-3, batch=128, epochs=50 | val accuracy 0.9188 | без замечаний, кривые обучения ровные.
2025-01-10 | run-106 | MLP-3x256 | tabular-credit | AdamW, lr=5e-4, batch=64, epochs=20 | val accuracy 0.9161 | время эпохи в норме, узел gpu-07.
2025-01-10 | run-107 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=1e-3, batch=128, epochs=50 | val accuracy 0.8133 | результат в пределах разброса предыдущих запусков.
2025-01-10 | run-108 | ResNet-18 | tabular-credit | SGD+momentum, lr=1e-3, batch=256, epochs=20 | val accuracy 0.8903 | памяти GPU хватает с запасом, можно увеличить batch.
2025-01-13 | run-109 | ResNet-18 | digits-aug | SGD+momentum, lr=5e-4, batch=128, epochs=20 | val accuracy 0.895 | время эпохи в норме, узел gpu-07.
2025-01-13 | run-110 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=0.05, batch=256, epochs=20 | val accuracy 0.8114 | повторить с другим сидом для оценки разброса.
2025-01-13 | run-111 | ResNet-18 | cifar10-subset | SGD+momentum, lr=0.1, batch=64, epochs=20 | val accuracy 0.8455 | ранняя остановка сработала раньше лимита эпох.
2025-01-13 | run-112 | LightGBM | tabular-credit | SGD+momentum, learning_rate=5e-4, batch=256, epochs=20 | val accuracy 0.8136 | результат в пределах разброса предыдущих запусков.
